transaction_id,source,target,amount_SAT,success
0,024520e7ed6a8d435bd7ebf775b73d04c09ee87eda5f568470f6c7e8bb40258cf2,02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,60000,True
1,037fa3a69a4d93910c804dd9d05e45a57c139141d1e628d5512f3f31af7d697aa6,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,60000,True
2,035d400d26ad1739a98d3edbf224d7d40235c534a8f58f7cc7afefc639d3c84bfb,027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,60000,True
3,03a7fb52da76a723f7e3cd5d777c0372f1ae1217c82a60e15d12b74089b3d82724,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,60000,True
4,02dd8d892c348ab3e958a77fac061b352dad4320fc12ad0a04090aff9e64c366f4,03e5a594f574f845409d474c105c5d233291f94d1fba4ee6a4de595c576bd2f4e1,60000,False
5,03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c,02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,60000,True
6,038c4288a41c79e47f37efccb2a0e1deb3b48291a7813f0be12179f9e84a4c6d35,034c457d2377ba25c6408883c4bce95f83cb555ead61d28690d8e2944d69ff471b,60000,True
7,0375e5cc9e6f791bda82c9897faffbdc74aacd5df7c87496f91dcf6a72eb9a87e6,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,60000,True
8,0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2,021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,60000,True
9,029d2ba993aea62d170d9e6eeb3de143bfecd259e1de2bd161bdfb21692431517f,02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,60000,False
10,0394396e6e8cf8d9f91de4269dfd2e8416b93b91cae6139057c7283b463e4bfa31,038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,60000,False
11,0265bd4aded6d3988758fb7df2ca47b4b9321afd446b0e6890af2bc861edaca1aa,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,60000,False
12,02ccdd849caefdd2ef8360f10813ed8247a4d063fcfffc39623403885c9dfa39e5,0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,60000,True
13,039d4e2601a44bbbe6861f40311b46d619ca3ff33bd50f6e6a6215eada290bdc80,025537b1ae30299f02714199843650b58adf2ff59a013e40e56bb1330fefbe99df,60000,False
14,02c1ac5cee87e4f40f24ea4560ab0e63f398ef5fb630cf50a0e2f638ce51e3169e,0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1,60000,True
15,02ec4882d8a0b54f20b46c37f4a166f22a52e19da52e2ec1e1d792c4106804bdcd,02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,60000,True
16,0251325d14723f7c44d109acad89e65f5285d487d9ec95a7d9ff667b48ad1b3efa,02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,60000,True
